#;Software / Servicio;Licencia / costo aproximado;¿Usa IA?;Enfoque principal;¿Cómo ayuda al pequeño piscicultor?;Enlace
1;AquaTracker;Propietario, de bajo costo (SaaS);No explícito;Gestión de producción acuícola en la nube;Permite llevar registros básicos de lotes de peces, alimentación, biomasa y costos, ayudando a organizar mejor el ciclo de producción aunque la granja sea pequeña.;https://www.aquatracker.com
2;navfarm (Aquaculture);Propietario, suscripción;No explícito;Gestión de estanques y lotes de peces en tiempo real;Desde el celular se pueden registrar siembras, mortalidades, alimentación y tratamientos por estanque, lo que facilita decisiones diarias y reduce pérdidas.;https://www.navfarm.com/aquaculture
3;KAMAHU;Propietario, bajo costo;No explícito;Software web para granjas de peces;"Pensado para ser simple: permite llevar historial de cada estanque, costos por ciclo y producción vendida; útil para pequeños piscicultores que inician formalización.";https://www.kamahu.com
4;Manolin (Manolin Aqua);Propietario, orientado a IA;Sí;Inteligencia predictiva de enfermedades y desempeño;"Usa modelos predictivos para anticipar riesgos sanitarios y de rendimiento, ayudando a planear tratamientos y manejo; más común en granjas medianas/grandes, pero concepto aplicable a piscicultura tecnificada.";https://manolinaqua.com
5;Farm360 (Innovasea);Propietario;Probablemente analítica avanzada (no se anuncia IA explícita);Plataforma de gestión de granjas de peces y camarón;Centraliza datos de alimentación, crecimiento y ambiente, lo que ayuda a optimizar el uso de alimento y mejorar la conversión en cultivos intensivos.;https://www.innovasea.com/aquaculture-intelligence/farm-management-software/
6;Aquaculture Management Software (Folio3);Propietario, soluciones a medida;Puede usar analítica avanzada;Control de crecimiento, calidad del agua y alimentación;"Para proyectos más grandes, permite integrar sensores, registros y reportes en una sola plataforma; sirve como referencia de soluciones de alto nivel en piscicultura.";https://agtech.folio3.com/aquaculture-management-software/
7;FOCUS – Fisheries Open Source Community Software;Software libre, código abierto;No;Suite abierta para gestión de pesca y recursos pesqueros;Aunque está más orientado a organizaciones y autoridades, muestra cómo el software libre puede apoyar gestión de datos de pesca y acuicultura sin pagar licencias.;https://sdgs.un.org/partnerships/focus-fisheries-open-source-community-software
8;Flypix – Aquaculture Monitoring Tools;Propietario, IA geoespacial;Sí;Monitoreo de agua, ambiente y anomalías;"Usa IA para analizar imágenes y datos ambientales, ayudando a detectar problemas de calidad de agua o riesgo para los peces; un ejemplo de cómo la IA puede apoyar monitoreo remoto.";https://flypix.ai/aquaculture-monitoring-tools/
9;LiteFarm;Libre, gratuito y de código abierto;No;Gestión integral de fincas sostenibles;Aunque no es específico de peces, permite registrar parcelas/estanques, tareas, costos y ventas. Es gratis y pensado para pequeños agricultores, por lo que un piscicultor lo puede adaptar a sus estanques.;https://www.litefarm.org
10;farmOS;Libre, gratuito, web y de código abierto;No;Planificación y registro de actividades agrícolas;Permite crear activos para estanques, tanques o jaulas, registrar cada actividad (siembra, alimentación, tratamientos) y después analizar rendimientos por ciclo o estanque.;https://farmos.org
11;Tania;Libre, gratuito y de código abierto;No;Gestión de fincas y registros de campo;Software libre sencillo, útil para un pequeño piscicultor que quiera montar su propio sistema en un servidor barato y registrar actividades y costos sin pagar licencias.;https://usetania.org
12;FarmKeep;Propietario, enfocado a pequeñas fincas;No explícito;App para pequeñas granjas y animales;"Se enfoca en registro de animales, tareas, gastos y reproducción; un piscicultor puede tratar cada estanque como lote y así llevar control básico de producción.";https://www.farmkeep.com
13;Farmbrite;Propietario, con prueba gratuita;No explícito;Gestión integral: cultivos, ganado y contabilidad;Integra manejo de ganado, mapas de la finca y módulo de contabilidad, de modo que el piscicultor puede centralizar información técnica y económica en un solo sistema.;https://www.farmbrite.com
14;AgriXP;Propietario con versión gratuita para pequeñas fincas;No;Planificación de cultivos y registros en la nube;"Ofrece registro de actividades y clima, gratuito para fincas pequeñas; aunque es más de cultivos, se puede usar para planear costos, alimentaciones y cosechas de peces.";https://agrixp.com
15;GnuCash;Libre, gratuito (GPL);No;Contabilidad para pequeños negocios;Permite llevar ingresos, gastos, cuentas por cobrar y pagar, ideal para que el piscicultor lleve contabilidad básica sin pagar software, igual que una microempresa.;https://www.gnucash.org
16;Odoo Community;Libre, ERP de código abierto (edición Community);No;ERP completo: inventario, facturación, ventas, contabilidad;Un piscicultor que crece su negocio puede usar Odoo para controlar inventario de alimento, medicamentos, ventas de pescado y contabilidad, todo en un solo sistema.;https://www.odoo.com/page/community
17;Wave Accounting;Propietario, núcleo gratuito en la nube;No;Contabilidad sencilla para pequeños negocios;"Permite emitir facturas, registrar ventas y gastos gratis; es útil para piscicultores que venden directamente al consumidor y quieren formalizar sus cuentas.";https://www.waveapps.com
18;ZipBooks;Propietario, plan inicial gratuito;No;Contabilidad y facturación con reportes básicos;Ofrece un plan gratuito con facturación y registro de gastos, ayudando a entender si la piscicultura está dando ganancias o pérdidas.;https://zipbooks.com
19;Tend Farm Management;Propietario, con IA integrada;Sí;Planificación de cultivos, tareas y ventas con IA;"Incluye funciones de IA para planear tareas, ventas e inventarios; puede servir como ejemplo en el proyecto de cómo la IA ayuda a planear actividades y analizar datos de producción.";https://www.tend.com
20;Asistente de IA conversacional (p.ej., ChatGPT);Servicio en la nube, con versión gratuita y de pago;Sí;Asistente genérico de IA para texto;Un pequeño piscicultor puede usar un asistente de IA para elaborar contratos, formularios, registros, interpretar reportes de laboratorio, generar presupuestos, diseñar formatos de control y resolver dudas técnicas de manera rápida usando lenguaje natural.;https://chatgpt.com
